"key","English (en)","Russian (ru)","Status"
"about.building","Building and Sending Transactions","Создание и отправка транзакций","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","Создавайте транзакции с условиями covenant: временными блокировками, мультиподписью или разрешёнными адресами.","translated"
"about.cashscriptExamples","CashScript Covenant Examples","Примеры covenant CashScript","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript — написание covenant и introspection","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph — что такое Bitcoin covenant и как они работают?","translated"
"about.community","Community Feedback","Отзывы сообщества","translated"
"about.communityText","Built with input from beta testers and real user needs.","Создано с учётом отзывов бета-тестеров и реальных потребностей пользователей.","translated"
"about.creating","Creating and Importing Wallets","Создание и импорт кошельков","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","Создавайте новые кошельки или импортируйте существующие в стандартных форматах, совместимых с другими Bitcoin-кошельками.","translated"
"about.feedback","Feedback and Support","Отзывы и поддержка","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","Ваши отзывы помогают улучшать OPTN Wallet. Для предложений, проблем или поддержки свяжитесь с нами:","translated"
"about.flexibility","Flexibility","Гибкость","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","Настраивайте кошелёк с помощью собственных условий транзакций.","translated"
"about.intended","Intended Use","Назначение","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","OPTN помогает управлять цифровыми активами с расширенными covenant — для личных средств и изучения Bitcoin covenant.","translated"
"about.intuitive","Intuitive Design","Интуитивный дизайн","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","Понятный интерфейс делает управление активами доступным новичкам.","translated"
"about.keyFeatures","Key Features","Основные возможности","translated"
"about.learn","Learn More About Bitcoin Covenants","Подробнее о Bitcoin covenant","translated"
