"key","English (en)","Vietnamese (vi)","Status"
"about.building","Building and Sending Transactions","Tạo và gửi giao dịch","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","Tạo giao dịch với điều kiện covenant tùy chỉnh như khóa thời gian, yêu cầu nhiều chữ ký hoặc địa chỉ cho phép.","translated"
"about.cashscriptExamples","CashScript Covenant Examples","Ví dụ covenant CashScript","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript — viết covenant và introspection","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph — Covenant Bitcoin là gì và hoạt động thế nào?","translated"
"about.community","Community Feedback","Phản hồi cộng đồng","translated"
"about.communityText","Built with input from beta testers and real user needs.","Được xây dựng với ý kiến của người thử nghiệm beta và nhu cầu thực tế.","translated"
"about.creating","Creating and Importing Wallets","Tạo và nhập ví","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","Tạo ví mới hoặc nhập ví hiện có bằng các định dạng chuẩn tương thích với ví Bitcoin khác.","translated"
"about.feedback","Feedback and Support","Phản hồi và hỗ trợ","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","Phản hồi giúp chúng tôi cải thiện OPTN Wallet. Để gửi góp ý, báo lỗi hoặc cần hỗ trợ, hãy liên hệ tại","translated"
"about.flexibility","Flexibility","Linh hoạt","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","Tùy chỉnh trải nghiệm ví với điều kiện giao dịch riêng.","translated"
"about.intended","Intended Use","Mục đích sử dụng","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","OPTN hỗ trợ quản lý tài sản số với tính năng covenant nâng cao, dù bạn quản lý tiền cá nhân hay tìm hiểu covenant Bitcoin.","translated"
"about.intuitive","Intuitive Design","Thiết kế trực quan","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","Giao diện thân thiện giúp người mới dễ quản lý tài sản.","translated"
"about.keyFeatures","Key Features","Tính năng chính","translated"
"about.learn","Learn More About Bitcoin Covenants","Tìm hiểu thêm về covenant Bitcoin","translated"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","Khám phá các tài nguyên sau để hiểu sâu hơn về covenant Bitcoin:","translated"
"about.overview","Overview","Tổng quan","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","Ứng dụng OPTN Wallet cho bạn quyền kiểm soát trực tiếp và bảo mật tài sản số. Covenant Bitcoin cho phép đặt quy tắc tùy chỉnh cho việc chi tiêu tiền.","translated"
"about.security","Security","Bảo mật","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Tính năng covenant Bitcoin giúp bảo vệ tài sản khỏi giao dịch trái phép.","translated"
"about.unmatched","Unmatched Security","Bảo mật vượt trội","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","Xác định chính xác cách tiền có thể được chi tiêu bằng covenant Bitcoin.","translated"
"about.viewing","Viewing Covenants","Xem covenant","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","Xem các quy tắc điều khiển giao dịch để hiểu cách tiền của bạn được bảo vệ.","translated"
"about.why","Why Choose OPTN Wallet?","Vì sao chọn OPTN Wallet?","translated"
"about.wiki","Bitcoin Covenants Wiki","Wiki Covenant Bitcoin","translated"
"actions.advanced","Advanced","Nâng cao","translated"
"actions.advancedActions","Advanced Actions","Thao tác nâng cao","translated"
"actions.basic","Basic","Cơ bản","translated"
"actions.basicActions","Basic Actions","Thao tác cơ bản","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","Quản lý các nhóm token","translated"
"actions.commonWalletTasks","Common wallet tasks","Tác vụ ví thường dùng","translated"
"actions.contracts","Contracts","Hợp đồng","translated"
"actions.contractsDescription","Manage contract instances","Quản lý các phiên bản hợp đồng","translated"
"actions.deeperTools","Deeper tools and workflows","Công cụ và quy trình nâng cao","translated"
"actions.newAddress","New Address","Địa chỉ mới","translated"
"actions.newAddressDescription","Generate a new address","Tạo địa chỉ mới","translated"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","Bản beta sản phẩm","translated"
"actions.quantumrootDescription","Quantum-ready vaults","Vault sẵn sàng cho kỷ nguyên lượng tử","translated"
"actions.receive","Receive","Nhận","translated"
"actions.receiveDescription","Receive BCH or CashTokens","Nhận BCH hoặc CashTokens","translated"
"actions.scanQr","Scan QR","Quét QR","translated"
"actions.scanQrDescription","Sweep paper wallets","Quét ví giấy","translated"
"actions.send","Send","Gửi","translated"
"actions.sendDescription","Send BCH or CashTokens","Gửi BCH hoặc CashTokens","translated"
"actions.subtitle","Simple wallet actions for everyday use","Các thao tác ví đơn giản cho nhu cầu hằng ngày","translated"
"actions.taskMode","Task mode","Chế độ tác vụ","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","Ưu tiên tác vụ cơ bản; công cụ nâng cao nằm ở bước tiếp theo","translated"
"actions.title","Actions","Thao tác","stable-term"
"actions.transactionBuilder","Transaction Builder","Trình tạo giao dịch","translated"
"actions.transactionBuilderDescription","Build custom transactions","Tạo giao dịch tùy chỉnh","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","Quản lý phiên dApp","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","Phiên dApp có khóa XPub","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","Add-on chạy trong frame sandbox, không truy cập khóa hoặc bộ nhớ ví — chỉ làm được những gì quyền bạn phê duyệt cho phép.","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","Chỉ có thể cài add-on từ thư mục trên máy tính.","translated"
