"key","English (en)","Spanish (es)","Chinese (Simplified) (zh-CN)"
"about.building","Building and Sending Transactions","Crear y enviar transacciones","构建和发送交易"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","Construye transacciones con condiciones covenant personalizadas, como bloqueos temporales, requisitos multifirma o direcciones permitidas.","使用自定义 covenant 条件构建交易，例如时间锁、多签要求或允许的地址。"
"about.cashscriptExamples","CashScript Covenant Examples","Ejemplos de covenants de CashScript","CashScript Covenant 示例"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript - Escritura de covenants e introspección","CashScript - 编写 Covenant 与自省"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph - ¿Qué son los covenants de Bitcoin y cómo funcionan?","Cointelegraph - 什么是 Bitcoin Covenant，它们如何工作？"
"about.community","Community Feedback","Comentarios de la comunidad","社区反馈"
"about.communityText","Built with input from beta testers and real user needs.","Creada con aportes de usuarios beta y necesidades reales.","根据测试用户的反馈和真实需求构建。"
"about.creating","Creating and Importing Wallets","Crear e importar billeteras","创建和导入钱包"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","Crea billeteras nuevas o importa las existentes con formatos estándar compatibles con otras billeteras Bitcoin.","使用与其他 Bitcoin 钱包兼容的标准格式创建新钱包或导入现有钱包。"
"about.feedback","Feedback and Support","Comentarios y soporte","反馈与支持"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","Tus comentarios nos ayudan a mejorar OPTN Wallet. Para sugerencias, problemas o soporte, escríbenos a","你的反馈有助于改进 OPTN Wallet。如有建议、问题或需要支持，请联系"
"about.flexibility","Flexibility","Flexibilidad","灵活性"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","Adapta tu experiencia con condiciones de transacción personalizadas.","使用自定义交易条件调整钱包体验。"
"about.intended","Intended Use","Uso previsto","适用范围"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","OPTN está lista para ayudarte a gestionar activos digitales con funciones covenant avanzadas, tanto si manejas fondos personales como si exploras los covenants de Bitcoin.","OPTN 可帮助你使用高级 covenant 功能管理数字资产，无论是管理个人资金还是探索 Bitcoin covenant。"
"about.intuitive","Intuitive Design","Diseño intuitivo","直观设计"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","Una interfaz sencilla que facilita la gestión de activos incluso a principiantes.","友好的界面让初学者也能轻松管理资产。"
"about.keyFeatures","Key Features","Funciones principales","主要功能"
"about.learn","Learn More About Bitcoin Covenants","Aprende más sobre los covenants de Bitcoin","进一步了解 Bitcoin Covenant"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","Explora estos recursos para comprender mejor los covenants de Bitcoin:","通过以下资源加深对 Bitcoin covenant 的理解："
"about.overview","Overview","Descripción general","概览"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","OPTN Wallet te ofrece control directo y seguridad sobre tus activos digitales. Los covenants de Bitcoin permiten definir reglas personalizadas para gastar fondos y adaptar la billetera a tus preferencias.","OPTN Wallet 为你提供对数字资产的直接控制和安全保护。Bitcoin covenant 允许你为资金使用设置自定义规则，让钱包符合你的偏好。"
"about.security","Security","Seguridad","安全"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Las funciones de covenant de Bitcoin ayudan a proteger los activos frente a transacciones no autorizadas.","Bitcoin covenant 功能有助于保护资产免受未经授权的交易影响。"
"about.unmatched","Unmatched Security","Seguridad incomparable","出色的安全性"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","Define exactamente cómo pueden gastarse los fondos con covenants de Bitcoin.","通过 Bitcoin covenant 明确定义资金的使用方式。"
"about.viewing","Viewing Covenants","Consultar covenants","查看 Covenant"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","Revisa las reglas que gobiernan las transacciones para entender cómo se protegen tus fondos.","查看交易规则，了解资金如何受到保护。"
"about.why","Why Choose OPTN Wallet?","¿Por qué elegir OPTN Wallet?","为什么选择 OPTN Wallet？"
"about.wiki","Bitcoin Covenants Wiki","Wiki de Bitcoin Covenants","Bitcoin Covenant Wiki"
"actions.advanced","Advanced","Avanzadas","进阶"
"actions.advancedActions","Advanced Actions","Acciones avanzadas","进阶操作"
"actions.basic","Basic","Básicas","基础"
"actions.basicActions","Basic Actions","Acciones básicas","基础操作"
"actions.cashTokens","CashTokens","CashTokens","CashTokens"
"actions.cashTokensDescription","Manage token families","Gestionar familias de tokens","管理代币系列"
"actions.commonWalletTasks","Common wallet tasks","Tareas comunes de la billetera","常用钱包任务"
"actions.contracts","Contracts","Contratos","合约"
"actions.contractsDescription","Manage contract instances","Gestionar instancias de contratos","管理合约实例"
"actions.deeperTools","Deeper tools and workflows","Herramientas y flujos avanzados","深入工具和工作流"
"actions.newAddress","New Address","Nueva dirección","新地址"
"actions.newAddressDescription","Generate a new address","Generar una nueva dirección","生成新地址"
"actions.quantumroot","Quantumroot","Quantumroot","Quantumroot"
"actions.quantumrootBadge","Beta production","Beta de producción","生产测试版"
"actions.quantumrootDescription","Quantum-ready vaults","Bóvedas preparadas para lo cuántico","面向量子的保险库"
"actions.receive","Receive","Recibir","接收"
"actions.receiveDescription","Receive BCH or CashTokens","Recibir BCH o CashTokens","接收 BCH 或 CashTokens"
"actions.scanQr","Scan QR","Escanear QR","扫描二维码"
"actions.scanQrDescription","Sweep paper wallets","Barrer billeteras de papel","扫描纸钱包"
"actions.send","Send","Enviar","发送"
"actions.sendDescription","Send BCH or CashTokens","Enviar BCH o CashTokens","发送 BCH 或 CashTokens"
"actions.subtitle","Simple wallet actions for everyday use","Acciones sencillas para el uso diario","日常使用的钱包快捷操作"
"actions.taskMode","Task mode","Modo de tareas","任务模式"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","Primero las tareas básicas; las herramientas avanzadas están un nivel más abajo","先处理基础任务，进阶工具位于下一层"
"actions.title","Actions","Acciones","操作"
"actions.transactionBuilder","Transaction Builder","Constructor de transacciones","交易构建器"
"actions.transactionBuilderDescription","Build custom transactions","Crear transacciones personalizadas","构建自定义交易"
"actions.walletConnect","WalletConnect","WalletConnect","WalletConnect"
"actions.walletConnectDescription","Manage dApp sessions","Gestionar sesiones de dApps","管理 dApp 会话"
"actions.wizardConnect","WizardConnect","WizardConnect","WizardConnect"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","Sesiones de dApps con XPub","支持 XPub 的 dApp 会话"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","Los complementos se ejecutan en un marco aislado sin acceso a las claves ni a la memoria de tu billetera; solo pueden hacer lo que permitan los permisos que apruebes.","插件在沙盒框架中运行，无法访问钱包密钥或内存；它们只能执行你批准的权限允许的操作。"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","La instalación de complementos desde una carpeta solo está disponible en escritorio.","只能在桌面端从文件夹安装插件。"
"addons.installed","Installed addons","Complementos instalados","已安装的插件"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","Se instaló “{name}”. Reinicia la aplicación para cargarlo.","已安装“{name}”。重启应用以加载它。"
"addons.installFolder","Install from folder…","Instalar desde carpeta…","从文件夹安装…"
"addons.installing","Installing…","Instalando…","安装中…"
"addons.none","No addons installed.","No hay complementos instalados.","未安装插件。"
"addons.uninstall","Uninstall","Desinstalar","卸载"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","Desinstalado. Reinicia la aplicación para que desaparezca por completo.","已卸载。重启应用后才会完全消失。"
"app.back","Back","Atrás","返回"
"app.close","Close","Cerrar","关闭"
"app.confirmLogout","Confirm Logout","Confirmar cierre de sesión","确认退出"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","Confirma el cierre de sesión para eliminar esta billetera del dispositivo.","确认退出以从设备中移除此钱包。"
"app.help","Help","Ayuda","帮助"
"app.language","Language","Idioma","语言"
"app.languageDescription","Choose the wallet interface language","Elige el idioma de la interfaz","选择钱包界面语言"
"app.logOut","Log Out","Cerrar sesión","退出登录"
"app.quickAccess","Quick access","Acceso rápido","快捷访问"
"app.settings","Settings","Configuración","设置"
"app.toggleTheme","Toggle theme","Cambiar tema","切换主题"
"appLock.cancel","Cancel","Cancelar","取消"
"appLock.checking","Checking…","Comprobando…","检查中…"
"appLock.confirm","Confirm","Confirmar","确认"
"appLock.confirmPassword","Confirm password","Confirmar contraseña","确认密码"
"appLock.incorrect","Incorrect passphrase. Try again.","La contraseña es incorrecta. Inténtalo de nuevo.","密码不正确，请重试。"
"appLock.password","Password","Contraseña","密码"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","Introduce tu contraseña para revelar la frase de respaldo.","输入密码以显示备份短语。"
"appLock.verificationFailed","Verification failed. Please try again.","Falló la verificación. Inténtalo de nuevo.","验证失败，请重试。"
"apps.advanced","Advanced","Avanzadas","高级"
"apps.all","All","Todas","全部"
"apps.browse","Browse apps","Explorar aplicaciones","浏览应用"
