"key","English (en)","French (fr)","Status"
"about.building","Building and Sending Transactions","Créer et envoyer des transactions","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","Construisez des transactions avec des conditions de covenant personnalisées : verrous temporels, signatures multiples ou adresses autorisées.","translated"
"about.cashscriptExamples","CashScript Covenant Examples","Exemples de covenants CashScript","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript — écrire des covenants et introspection","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph — Que sont les covenants Bitcoin et comment fonctionnent-ils ?","translated"
"about.community","Community Feedback","Retour de la communauté","translated"
"about.communityText","Built with input from beta testers and real user needs.","Conçu avec les retours de testeurs bêta et les besoins réels des utilisateurs.","translated"
"about.creating","Creating and Importing Wallets","Créer et importer des portefeuilles","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","Créez de nouveaux portefeuilles ou importez-en à l’aide de formats standards compatibles avec d’autres portefeuilles Bitcoin.","translated"
"about.feedback","Feedback and Support","Commentaires et assistance","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","Vos commentaires nous aident à améliorer OPTN Wallet. Pour des suggestions, des problèmes ou de l’aide, contactez-nous à","translated"
"about.flexibility","Flexibility","Flexibilité","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","Adaptez votre expérience avec des conditions de transaction personnalisées.","translated"
"about.intended","Intended Use","Utilisation prévue","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","OPTN vous aide à gérer des actifs numériques avec des fonctions avancées de covenant, que vous gériez des fonds personnels ou découvriez les covenants Bitcoin.","translated"
"about.intuitive","Intuitive Design","Design intuitif","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","Une interface conviviale qui rend la gestion des actifs accessible aux débutants.","translated"
"about.keyFeatures","Key Features","Fonctionnalités principales","translated"
"about.learn","Learn More About Bitcoin Covenants","En savoir plus sur les covenants Bitcoin","translated"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","Explorez ces ressources pour approfondir vos connaissances sur les covenants Bitcoin :","translated"
"about.overview","Overview","Vue d’ensemble","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","L’application OPTN Wallet vous donne un contrôle direct et sécurisé de vos actifs numériques. Les covenants Bitcoin permettent de définir des règles personnalisées pour dépenser les fonds.","translated"
"about.security","Security","Sécurité","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Les covenants Bitcoin contribuent à protéger les actifs contre les transactions non autorisées.","translated"
"about.unmatched","Unmatched Security","Sécurité inégalée","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","Définissez précisément comment les fonds peuvent être dépensés avec les covenants Bitcoin.","translated"
"about.viewing","Viewing Covenants","Afficher les covenants","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","Examinez les règles qui régissent les transactions pour comprendre comment vos fonds sont protégés.","translated"
"about.why","Why Choose OPTN Wallet?","Pourquoi choisir OPTN Wallet ?","translated"
"about.wiki","Bitcoin Covenants Wiki","Wiki des covenants Bitcoin","translated"
"actions.advanced","Advanced","Avancé","translated"
"actions.advancedActions","Advanced Actions","Actions avancées","translated"
"actions.basic","Basic","De base","translated"
"actions.basicActions","Basic Actions","Actions de base","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","Gérer les familles de jetons","translated"
"actions.commonWalletTasks","Common wallet tasks","Tâches courantes du portefeuille","translated"
"actions.contracts","Contracts","Contrats","translated"
"actions.contractsDescription","Manage contract instances","Gérer les instances de contrats","translated"
"actions.deeperTools","Deeper tools and workflows","Outils et flux avancés","translated"
"actions.newAddress","New Address","Nouvelle adresse","translated"
"actions.newAddressDescription","Generate a new address","Générer une nouvelle adresse","translated"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","Bêta en production","translated"
"actions.quantumrootDescription","Quantum-ready vaults","Coffres prêts pour le quantique","translated"
"actions.receive","Receive","Recevoir","translated"
"actions.receiveDescription","Receive BCH or CashTokens","Recevoir du BCH ou des CashTokens","translated"
"actions.scanQr","Scan QR","Scanner un QR","translated"
"actions.scanQrDescription","Sweep paper wallets","Récupérer un portefeuille papier","translated"
"actions.send","Send","Envoyer","translated"
"actions.sendDescription","Send BCH or CashTokens","Envoyer du BCH ou des CashTokens","translated"
"actions.subtitle","Simple wallet actions for everyday use","Actions simples pour utiliser le portefeuille au quotidien","translated"
"actions.taskMode","Task mode","Mode tâche","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","Les tâches de base d’abord, les outils avancés un niveau plus loin","translated"
"actions.title","Actions","Actions","stable-term"
"actions.transactionBuilder","Transaction Builder","Constructeur de transactions","translated"
"actions.transactionBuilderDescription","Build custom transactions","Créer des transactions personnalisées","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","Gérer les sessions dApp","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","Sessions dApp compatibles avec les xPub","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","Les extensions s’exécutent dans un cadre isolé sans accès aux clés ni à la mémoire du portefeuille ; elles ne peuvent faire que ce que vos autorisations permettent.","translated"
