"key","English (en)","Spanish (es)","Status"
"about.building","Building and Sending Transactions","Crear y enviar transacciones","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","Construye transacciones con condiciones covenant personalizadas, como bloqueos temporales, requisitos multifirma o direcciones permitidas.","translated"
"about.cashscriptExamples","CashScript Covenant Examples","Ejemplos de covenants de CashScript","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript - Escritura de covenants e introspección","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph - ¿Qué son los covenants de Bitcoin y cómo funcionan?","translated"
"about.community","Community Feedback","Comentarios de la comunidad","translated"
"about.communityText","Built with input from beta testers and real user needs.","Creada con aportes de usuarios beta y necesidades reales.","translated"
"about.creating","Creating and Importing Wallets","Crear e importar billeteras","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","Crea billeteras nuevas o importa las existentes con formatos estándar compatibles con otras billeteras Bitcoin.","translated"
"about.feedback","Feedback and Support","Comentarios y soporte","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","Tus comentarios nos ayudan a mejorar OPTN Wallet. Para sugerencias, problemas o soporte, escríbenos a","translated"
"about.flexibility","Flexibility","Flexibilidad","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","Adapta tu experiencia con condiciones de transacción personalizadas.","translated"
"about.intended","Intended Use","Uso previsto","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","OPTN está lista para ayudarte a gestionar activos digitales con funciones covenant avanzadas, tanto si manejas fondos personales como si exploras los covenants de Bitcoin.","translated"
"about.intuitive","Intuitive Design","Diseño intuitivo","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","Una interfaz sencilla que facilita la gestión de activos incluso a principiantes.","translated"
"about.keyFeatures","Key Features","Funciones principales","translated"
"about.learn","Learn More About Bitcoin Covenants","Aprende más sobre los covenants de Bitcoin","translated"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","Explora estos recursos para comprender mejor los covenants de Bitcoin:","translated"
"about.overview","Overview","Descripción general","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","OPTN Wallet te ofrece control directo y seguridad sobre tus activos digitales. Los covenants de Bitcoin permiten definir reglas personalizadas para gastar fondos y adaptar la billetera a tus preferencias.","translated"
"about.security","Security","Seguridad","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Las funciones de covenant de Bitcoin ayudan a proteger los activos frente a transacciones no autorizadas.","translated"
"about.unmatched","Unmatched Security","Seguridad incomparable","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","Define exactamente cómo pueden gastarse los fondos con covenants de Bitcoin.","translated"
"about.viewing","Viewing Covenants","Consultar covenants","translated"
