"key","English (en)","Arabic (ar)","Status"
"about.building","Building and Sending Transactions","إنشاء المعاملات وإرسالها","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","أنشئ معاملات بشروط عهد مخصصة مثل الأقفال الزمنية ومتطلبات التوقيع المتعدد أو العناوين المسموح بها.","translated"
"about.cashscriptExamples","CashScript Covenant Examples","أمثلة على عهود CashScript","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript - كتابة العهود والاستبطان","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph - ما عهود Bitcoin وكيف تعمل؟","translated"
"about.community","Community Feedback","ملاحظات المجتمع","translated"
"about.communityText","Built with input from beta testers and real user needs.","بُني التطبيق بمساهمات مختبري النسخة التجريبية واحتياجات المستخدمين الفعلية.","translated"
"about.creating","Creating and Importing Wallets","إنشاء المحافظ واستيرادها","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","أنشئ محافظ جديدة أو استورد محافظ موجودة باستخدام صيغ قياسية متوافقة مع محافظ Bitcoin الأخرى.","translated"
"about.feedback","Feedback and Support","الملاحظات والدعم","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","تساعدنا ملاحظاتك على تحسين OPTN Wallet. للاقتراحات أو المشكلات أو الدعم، تواصل معنا عبر","translated"
"about.flexibility","Flexibility","المرونة","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","خصص تجربة محفظتك بشروط معاملات مخصصة.","translated"
"about.intended","Intended Use","الاستخدام المقصود","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","يساعدك OPTN على إدارة الأصول الرقمية بميزات العهود المتقدمة، سواء كنت تدير أموالًا شخصية أو تستكشف عهود Bitcoin.","translated"
"about.intuitive","Intuitive Design","تصميم سهل الاستخدام","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","واجهة سهلة الاستخدام تجعل إدارة الأصول مناسبة للمبتدئين.","translated"
"about.keyFeatures","Key Features","الميزات الأساسية","translated"
"about.learn","Learn More About Bitcoin Covenants","تعلّم المزيد عن عهود Bitcoin","translated"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","استكشف هذه الموارد لتعميق فهمك لعهود Bitcoin:","translated"
"about.overview","Overview","نظرة عامة","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","يمنحك تطبيق OPTN Wallet تحكمًا مباشرًا وأمانًا لأصولك الرقمية. تتيح لك عهود Bitcoin تحديد قواعد مخصصة لإنفاق الأموال، لتلائم المحفظة تفضيلاتك.","translated"
"about.security","Security","الأمان","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","تساعد ميزات عهود Bitcoin على حماية الأصول من المعاملات غير المصرح بها.","translated"
"about.unmatched","Unmatched Security","أمان متقدم","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","حدد بدقة كيفية إنفاق الأموال باستخدام عهود Bitcoin.","translated"
"about.viewing","Viewing Covenants","عرض العهود","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","راجع القواعد التي تحكم المعاملات لتفهم كيفية حماية أموالك.","translated"
"about.why","Why Choose OPTN Wallet?","لماذا تختار OPTN Wallet؟","translated"
"about.wiki","Bitcoin Covenants Wiki","ويكي عهود Bitcoin","translated"
"actions.advanced","Advanced","متقدم","translated"
"actions.advancedActions","Advanced Actions","الإجراءات المتقدمة","translated"
"actions.basic","Basic","أساسي","translated"
"actions.basicActions","Basic Actions","الإجراءات الأساسية","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","إدارة عائلات الرموز","translated"
"actions.commonWalletTasks","Common wallet tasks","مهام المحفظة الشائعة","translated"
"actions.contracts","Contracts","العقود","translated"
"actions.contractsDescription","Manage contract instances","إدارة مثيلات العقود","translated"
"actions.deeperTools","Deeper tools and workflows","أدوات ومسارات عمل متقدمة","translated"
"actions.newAddress","New Address","عنوان جديد","translated"
"actions.newAddressDescription","Generate a new address","إنشاء عنوان جديد","translated"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","إصدار تجريبي إنتاجي","translated"
"actions.quantumrootDescription","Quantum-ready vaults","خزائن جاهزة لعصر الحوسبة الكمّية","translated"
"actions.receive","Receive","استلام","translated"
"actions.receiveDescription","Receive BCH or CashTokens","استلام BCH أو CashTokens","translated"
"actions.scanQr","Scan QR","مسح QR","translated"
"actions.scanQrDescription","Sweep paper wallets","مسح المحافظ الورقية","translated"
"actions.send","Send","إرسال","translated"
"actions.sendDescription","Send BCH or CashTokens","إرسال BCH أو CashTokens","translated"
"actions.subtitle","Simple wallet actions for everyday use","إجراءات محفظة بسيطة للاستخدام اليومي","translated"
"actions.taskMode","Task mode","وضع المهام","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","ابدأ بالمهام الأساسية؛ الأدوات المتقدمة في مستوى أعمق","translated"
"actions.title","Actions","الإجراءات","stable-term"
"actions.transactionBuilder","Transaction Builder","منشئ المعاملات","translated"
"actions.transactionBuilderDescription","Build custom transactions","إنشاء معاملات مخصصة","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","إدارة جلسات dApp","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","جلسات dApp مفعّلة بمفتاح XPub","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","تعمل الإضافات داخل إطار معزول ولا تصل إلى مفاتيح محفظتك أو ذاكرتها؛ ولا يمكنها تنفيذ إلا ما تسمح به الصلاحيات التي توافق عليها.","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","يتوفر تثبيت الإضافات من مجلد على تطبيق سطح المكتب فقط.","translated"
"addons.installed","Installed addons","الإضافات المثبتة","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","تم تثبيت «{name}». أعد تشغيل التطبيق لتحميله.","translated"
"addons.installFolder","Install from folder…","التثبيت من مجلد…","translated"
"addons.installing","Installing…","جارٍ التثبيت…","translated"
"addons.none","No addons installed.","لا توجد إضافات مثبتة.","translated"
"addons.uninstall","Uninstall","إلغاء التثبيت","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","تم إلغاء التثبيت. أعد تشغيل التطبيق لإزالته بالكامل.","translated"
"app.back","Back","رجوع","translated"
"app.close","Close","إغلاق","translated"
"app.confirmLogout","Confirm Logout","تأكيد تسجيل الخروج","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","أكد تسجيل الخروج لإزالة هذه المحفظة من الجهاز.","translated"
"app.help","Help","المساعدة","translated"
"app.language","Language","اللغة","translated"
"app.languageDescription","Choose the wallet interface language","اختر لغة واجهة المحفظة","translated"
"app.logOut","Log Out","تسجيل الخروج","translated"
"app.quickAccess","Quick access","وصول سريع","translated"
"app.settings","Settings","الإعدادات","translated"
"app.toggleTheme","Toggle theme","تبديل المظهر","translated"
"appLock.cancel","Cancel","إلغاء","translated"
"appLock.checking","Checking…","جارٍ التحقق…","translated"
"appLock.confirm","Confirm","تأكيد","translated"
"appLock.confirmPassword","Confirm password","تأكيد كلمة المرور","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","عبارة المرور غير صحيحة. حاول مرة أخرى.","translated"
"appLock.password","Password","كلمة المرور","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","أدخل كلمة المرور لإظهار عبارة النسخ الاحتياطي.","translated"
"appLock.verificationFailed","Verification failed. Please try again.","فشل التحقق. حاول مرة أخرى.","translated"
"apps.addonLoadFailed","Addon failed to load","فشل تحميل الإضافة","translated"
"apps.advanced","Advanced","متقدم","translated"
"apps.all","All","الكل","translated"
"apps.allowCapabilities","Allow {name} capabilities?","السماح بقدرات {name}؟","translated"
"apps.allowOnce","Allow once","السماح مرة واحدة","translated"
"apps.allowSensitiveAction","Allow sensitive action?","السماح بإجراء حساس؟","translated"
"apps.alwaysAllow","Always allow","السماح دائمًا","translated"
"apps.appDefinition","App definition","تعريف التطبيق","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","وافق على القدرات المطلوبة للمتابعة.","translated"
"apps.back","Back","رجوع","translated"
"apps.browse","Browse apps","تصفح التطبيقات","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","المحفظة أولًا، ثم الرموز والأدوات والمنصات المتقدمة","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","يطلب تطبيق الإضافة قدرات المحفظة قبل التشغيل.","translated"
"apps.capability","Capability:","القدرة:","translated"
"apps.capability.addOutputs","Construct transaction outputs","إنشاء مخرجات المعاملة","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","قراءة UTXOs لعناوين المحفظة","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","تحديث UTXOs لعناوين المحفظة وتخزينها","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","بث المعاملات","translated"
"apps.capability.buildTransactions","Build transactions","بناء المعاملات","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","جلب JSON عبر HTTP","translated"
"apps.capability.signatureTemplates","Create signature templates","إنشاء قوالب التوقيع","translated"
"apps.capability.signMessages","Sign messages with wallet keys","توقيع الرسائل بمفاتيح المحفظة","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","قراءة قوائم مالكي TokenIndex","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","قراءة بيانات CashToken الوصفية","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","قراءة عناوين المحفظة","translated"
"apps.capability.walletContextRead","Read wallet context","قراءة سياق المحفظة","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","قراءة UTXOs المحفظة","translated"
"apps.capabilityRequested","{name} requested: {capability}.","طلب {name}: {capability}.","translated"
