"key","English (en)","Status"
"about.building","Building and Sending Transactions","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","translated"
"about.cashscriptExamples","CashScript Covenant Examples","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","translated"
"about.community","Community Feedback","translated"
"about.communityText","Built with input from beta testers and real user needs.","translated"
"about.creating","Creating and Importing Wallets","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","translated"
"about.feedback","Feedback and Support","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","translated"
"about.flexibility","Flexibility","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","translated"
"about.intended","Intended Use","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","translated"
"about.intuitive","Intuitive Design","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","translated"
"about.keyFeatures","Key Features","translated"
"about.learn","Learn More About Bitcoin Covenants","translated"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","translated"
"about.overview","Overview","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","translated"
"about.security","Security","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","translated"
"about.unmatched","Unmatched Security","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","translated"
"about.viewing","Viewing Covenants","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","translated"
"about.why","Why Choose OPTN Wallet?","translated"
"about.wiki","Bitcoin Covenants Wiki","translated"
"actions.advanced","Advanced","translated"
"actions.advancedActions","Advanced Actions","translated"
"actions.basic","Basic","translated"
"actions.basicActions","Basic Actions","translated"
"actions.cashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","translated"
"actions.commonWalletTasks","Common wallet tasks","translated"
"actions.contracts","Contracts","translated"
"actions.contractsDescription","Manage contract instances","translated"
"actions.deeperTools","Deeper tools and workflows","translated"
"actions.newAddress","New Address","translated"
"actions.newAddressDescription","Generate a new address","translated"
"actions.quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","translated"
"actions.quantumrootDescription","Quantum-ready vaults","translated"
"actions.receive","Receive","translated"
"actions.receiveDescription","Receive BCH or CashTokens","translated"
"actions.scanQr","Scan QR","translated"
"actions.scanQrDescription","Sweep paper wallets","translated"
"actions.send","Send","translated"
"actions.sendDescription","Send BCH or CashTokens","translated"
"actions.subtitle","Simple wallet actions for everyday use","translated"
"actions.taskMode","Task mode","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","translated"
"actions.title","Actions","stable-term"
"actions.transactionBuilder","Transaction Builder","translated"
"actions.transactionBuilderDescription","Build custom transactions","translated"
"actions.walletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","translated"
"actions.wizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","translated"
"addons.installed","Installed addons","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","translated"
"addons.installFolder","Install from folder…","translated"
"addons.installing","Installing…","translated"
"addons.none","No addons installed.","translated"
"addons.uninstall","Uninstall","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","translated"
"app.back","Back","translated"
"app.close","Close","translated"
"app.confirmLogout","Confirm Logout","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","translated"
"app.help","Help","translated"
"app.language","Language","translated"
"app.languageDescription","Choose the wallet interface language","translated"
"app.logOut","Log Out","translated"
"app.quickAccess","Quick access","translated"
"app.settings","Settings","translated"
"app.toggleTheme","Toggle theme","translated"
"appLock.cancel","Cancel","translated"
"appLock.checking","Checking…","translated"
"appLock.confirm","Confirm","translated"
"appLock.confirmPassword","Confirm password","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","translated"
"appLock.password","Password","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","translated"
"appLock.verificationFailed","Verification failed. Please try again.","translated"
"apps.addonLoadFailed","Addon failed to load","translated"
"apps.advanced","Advanced","translated"
"apps.all","All","translated"
"apps.allowCapabilities","Allow {name} capabilities?","translated"
"apps.allowOnce","Allow once","translated"
"apps.allowSensitiveAction","Allow sensitive action?","translated"
"apps.alwaysAllow","Always allow","translated"
"apps.appDefinition","App definition","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","translated"
"apps.back","Back","translated"
"apps.browse","Browse apps","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","translated"
"apps.capability","Capability:","translated"
"apps.capability.addOutputs","Construct transaction outputs","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","translated"
"apps.capability.buildTransactions","Build transactions","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","translated"
"apps.capability.signatureTemplates","Create signature templates","translated"
"apps.capability.signMessages","Sign messages with wallet keys","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","translated"
"apps.capability.walletContextRead","Read wallet context","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","translated"
"apps.capabilityRequested","{name} requested: {capability}.","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","translated"
"apps.comingSoon","Coming soon","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","translated"
"apps.deny","Deny","translated"
"apps.empty","No apps in this category.","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","translated"
"apps.failedToLoad","Failed to load app","translated"
"apps.goToLanding","Go to Landing","translated"
"apps.loadFailed","Failed to load addon apps","translated"
"apps.loadingAddon","Loading addon…","translated"
"apps.loadingApp","Loading app…","translated"
"apps.noWallet","No wallet selected","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","translated"
"apps.resolvedScreenId","Resolved screen ID","translated"
"apps.subtitle","Extend your wallet with tools","translated"
"apps.title","Apps","translated"
"apps.token","Token","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","translated"
"apps.utils","Utils","translated"
"apps.waitingPermission","Waiting for app permission","translated"
"apps.wallet","Wallet","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","translated"
"assets.bitcoinCash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","translated"
"assets.cashTokens","CashTokens","stable-term"
"assets.categories","categories","translated"
"assets.chipnet","Chipnet","stable-term"
"assets.fungible","fungible","translated"
"assets.fungibleHoldings","Fungible token holdings","translated"
"assets.mintingNfts","Minting NFTs","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","translated"
"assets.mintTokens","Mint Tokens","translated"
"assets.mutableNfts","Mutable NFTs","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","translated"
"assets.nfts","NFTs","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","translated"
"assets.noNfts","No NFTs found.","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","translated"
"assets.openVaults","Open vaults","translated"
"assets.plainNfts","Plain NFTs","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","translated"
"assets.primaryBalance","Primary wallet balance","translated"
"assets.quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","translated"
"assets.tabBch","BCH","stable-term"
"assets.tabNfts","NFTs","translated"
"assets.tabTokens","Tokens","stable-term"
"assets.title","Assets","translated"
"assets.toggleBalance","Toggle BCH and USD balance","translated"
"assets.units","units","translated"
"assets.usdPriceUnavailable","USD price unavailable","translated"
"assets.usdUnavailable","USD unavailable","translated"
"assets.vaultWorkspace","Vault workspace","translated"
"bip37.addressesWithCoins","address(es) with coins","translated"
"bip37.blocks","blocks","stable-term"
"bip37.fromNode","BCH from the node ✓","translated"
"bip37.height","height","translated"
"bip37.inUse","● in use","translated"
"bip37.node","Node","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","translated"
"bip37.probe","Probe","translated"
"bip37.probing","Probing…","translated"
"bip37.protocol","protocol","translated"
"bip37.remove","Remove","translated"
"bip37.scanned","scanned","translated"
"bip37.serves","Serves BIP37 ✓","translated"
"bip37.sync","Sync","translated"
"bip37.syncing","Syncing…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","translated"
"bip37.use","Use","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","translated"
"bip37.watching","watching","translated"
"builder.addFirstRecipient","Add your first recipient","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","translated"
"builder.addOutput","Add Output","translated"
"builder.addRecipient","Add recipient","translated"
"builder.addRecipients","Add recipients","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","translated"
"builder.address","Address","translated"
"builder.amount","Amount","translated"
"builder.amountToSend","Amount to send","translated"
"builder.attachMessage","Attach message","translated"
"builder.back","Back","translated"
"builder.bchAddress","BCH address","translated"
"builder.bchAmountSats","BCH amount (sats)","translated"
"builder.bchFunds","BCH funds","translated"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","translated"
"builder.buildTransaction","Build Transaction","translated"
"builder.buildTx","Build TX","translated"
"builder.capability","Capability","translated"
"builder.category","Category","translated"
"builder.chooseSource","Choose a source","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","translated"
"builder.chooseSourceHelp","Choose source","translated"
"builder.close","Close","translated"
"builder.collectibleAmount","Collectible amount","translated"
"builder.commitment","Commitment","translated"
"builder.configureCollectible","Configure collectible","translated"
"builder.confirmAndSend","Confirm and Send Transaction","translated"
"builder.confirmTransaction","Confirm Transaction","translated"
"builder.contract","Contract","translated"
"builder.contractAddress","Contract address","translated"
"builder.contractAssets","Contract assets","translated"
"builder.contractFunction","Contract Function","translated"
"builder.contractFunds","Contract funds","translated"
"builder.contracts","Contracts","translated"
"builder.contractSourceCount","{count} contract source(s)","translated"
"builder.contractSourcePlural","{count} contract sources","translated"
"builder.contractSources","Contract sources","translated"
"builder.contractSourceSingular","{count} contract source","translated"
"builder.copyToClipboard","Copy to clipboard","translated"
"builder.createCollectible","Create collectible","translated"
"builder.createToken","Create token","translated"
"builder.customSend","Custom Send","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","translated"
"builder.dragToConfirm","Drag to Confirm","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","translated"
"builder.estimatedNetworkFee","Estimated network fee","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","translated"
"builder.flow","Flow","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","translated"
"builder.fundsSelected","Funds selected","translated"
"builder.fungibleAmount","Fungible Amount","translated"
"builder.fungibleTokens","Fungible Tokens","translated"
"builder.genesisCollectible","Genesis input for this collectible","translated"
"builder.genesisInput","Genesis input for this token","translated"
"builder.help","Help","translated"
"builder.howWorks","How this works","translated"
"builder.inputs","Inputs","translated"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","translated"
"builder.max","Max","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","translated"
"builder.missingUnlocker","Missing unlocker!","translated"
"builder.next","Next","translated"
"builder.nftCapability","NFT Capability","translated"
"builder.nftCommitment","NFT Commitment","translated"
"builder.noContractAddresses","No contract addresses available.","translated"
"builder.noFundsSelected","No funds selected yet.","translated"
"builder.none","None","translated"
"builder.nonFungibleTokens","Non-Fungible Tokens","translated"
"builder.noOutputs","No outputs added yet.","translated"
"builder.noQrCode","No QR code detected. Please try again.","translated"
"builder.noSpendableBalance","No spendable balance after fee reserve","translated"
"builder.noUtxosSelected","No UTXOs selected.","translated"
"builder.noWalletAddresses","No wallet addresses available.","translated"
"builder.opReturnData","OP_RETURN Data","translated"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","translated"
"builder.opReturnOutput","OP_RETURN Output","translated"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","translated"
"builder.outputs","Outputs","translated"
"builder.paperWallet","Paper Wallet","translated"
"builder.paperWalletUtxos","Paper Wallet UTXOs","translated"
"builder.pickFunds","Pick funds","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","translated"
"builder.rawTransactionDetails","Raw Transaction Details","translated"
"builder.ready","Ready","translated"
"builder.recipient","{count} recipient","translated"
"builder.recipientAddress","Recipient Address","translated"
"builder.recipientCount","{count} recipients","translated"
"builder.recipients","Recipients","translated"
"builder.recipientsAdded","Recipients added","translated"
"builder.remove","Remove","translated"
"builder.removeAllRecipients","Remove all recipients","translated"
"builder.returnLeftover","Return leftover funds to","translated"
"builder.reviewAndSend","Review and send","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","translated"
"builder.reviewFunds","Review funds","translated"
"builder.reviewRecipients","Review recipients","translated"
"builder.scanQrCode","Scan QR Code","translated"
"builder.selectedFunds","Selected funds","translated"
"builder.selectedItem","{count} selected item","translated"
"builder.selectedItems","{count} selected items","translated"
"builder.selectGenesisInput","Select genesis input","translated"
"builder.selectSource","Select a source to continue.","translated"
"builder.sendBch","Send BCH","translated"
"builder.sendTx","Send TX","translated"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","translated"
"builder.sourcesChosen","Sources chosen","translated"
"builder.step","Step {number}","translated"
"builder.token","Token","translated"
"builder.tokenAddress","Token address","translated"
"builder.tokenAmount","Token Amount","translated"
"builder.tokenCategory","Token Category","translated"
