"key","English (en)","Japanese (ja)","Status"
"about.building","Building and Sending Transactions","トランザクションの作成と送信","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","タイムロック、マルチシグ要件、許可アドレスなどのカスタム covenant 条件でトランザクションを作成します。","translated"
"about.cashscriptExamples","CashScript Covenant Examples","CashScript covenant の例","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript — covenant と introspection の作成","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph — Bitcoin covenant とは何か、どう機能するか","translated"
"about.community","Community Feedback","コミュニティからのフィードバック","translated"
"about.communityText","Built with input from beta testers and real user needs.","ベータテスターの意見と実際のユーザーのニーズを取り入れて作られています。","translated"
"about.creating","Creating and Importing Wallets","ウォレットの作成とインポート","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","他の Bitcoin ウォレットと互換性のある標準形式で、新しいウォレットを作成または既存のウォレットをインポートします。","translated"
"about.feedback","Feedback and Support","フィードバックとサポート","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","フィードバックは OPTN Wallet の改善に役立ちます。提案、問題、サポートについては次の連絡先までお知らせください：","translated"
"about.flexibility","Flexibility","柔軟性","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","カスタム取引条件でウォレット体験を調整できます。","translated"
"about.intended","Intended Use","想定用途","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","個人資金の管理にも Bitcoin covenant の探索にも、OPTN は高度な機能でデジタル資産の管理を支援します。","translated"
"about.intuitive","Intuitive Design","直感的なデザイン","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","初心者にも資産管理が分かりやすい使いやすいインターフェースです。","translated"
"about.keyFeatures","Key Features","主な機能","translated"
"about.learn","Learn More About Bitcoin Covenants","Bitcoin covenant を詳しく知る","translated"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","Bitcoin covenant の理解を深めるには、次の資料をご覧ください。","translated"
"about.overview","Overview","概要","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","OPTN Wallet アプリはデジタル資産を直接管理し、安全に保護できます。Bitcoin covenant で資金の使用ルールを設定し、好みに合わせたウォレットを作れます。","translated"
"about.security","Security","セキュリティ","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Bitcoin covenant 機能は不正な取引から資産を保護します。","translated"
"about.unmatched","Unmatched Security","優れたセキュリティ","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","Bitcoin covenant で資金の使用方法を正確に定義できます。","translated"
"about.viewing","Viewing Covenants","Covenant の表示","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","取引を管理するルールを確認し、資金が保護される仕組みを理解できます。","translated"
"about.why","Why Choose OPTN Wallet?","OPTN Wallet を選ぶ理由","translated"
"about.wiki","Bitcoin Covenants Wiki","Bitcoin covenant Wiki","translated"
"actions.advanced","Advanced","詳細","translated"
"actions.advancedActions","Advanced Actions","詳細操作","translated"
"actions.basic","Basic","基本","translated"
"actions.basicActions","Basic Actions","基本操作","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","トークンファミリーを管理","translated"
"actions.commonWalletTasks","Common wallet tasks","よく使うウォレット操作","translated"
"actions.contracts","Contracts","コントラクト","translated"
"actions.contractsDescription","Manage contract instances","コントラクトインスタンスを管理","translated"
"actions.deeperTools","Deeper tools and workflows","詳細ツールとワークフロー","translated"
"actions.newAddress","New Address","新しいアドレス","translated"
"actions.newAddressDescription","Generate a new address","新しいアドレスを生成","translated"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","ベータ運用版","translated"
"actions.quantumrootDescription","Quantum-ready vaults","量子対応ボールト","translated"
"actions.receive","Receive","受け取る","translated"
"actions.receiveDescription","Receive BCH or CashTokens","BCH または CashTokens を受け取る","translated"
"actions.scanQr","Scan QR","QR をスキャン","translated"
"actions.scanQrDescription","Sweep paper wallets","ペーパーウォレットをスイープ","translated"
"actions.send","Send","送る","translated"
"actions.sendDescription","Send BCH or CashTokens","BCH または CashTokens を送る","translated"
"actions.subtitle","Simple wallet actions for everyday use","日常的に使うためのシンプルなウォレット操作","translated"
"actions.taskMode","Task mode","タスクモード","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","基本タスクを先に、詳細ツールは一段深い場所に","translated"
"actions.title","Actions","操作","stable-term"
"actions.transactionBuilder","Transaction Builder","トランザクションビルダー","translated"
"actions.transactionBuilderDescription","Build custom transactions","カスタムトランザクションを作成","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","dApp セッションを管理","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","XPub キー対応 dApp セッション","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","アドオンはウォレットのキーやメモリにアクセスできないサンドボックスフレームで実行され、承認した権限の範囲でのみ動作します。","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","フォルダーからのアドオンインストールはデスクトップでのみ利用できます。","translated"
"addons.installed","Installed addons","インストール済みアドオン","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","「{name}」をインストールしました。読み込むにはアプリを再起動してください。","translated"
"addons.installFolder","Install from folder…","フォルダーからインストール…","translated"
"addons.installing","Installing…","インストール中…","translated"
"addons.none","No addons installed.","インストール済みアドオンはありません。","translated"
"addons.uninstall","Uninstall","アンインストール","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","アンインストールしました。完全に消すにはアプリを再起動してください。","translated"
"app.back","Back","戻る","translated"
"app.close","Close","閉じる","translated"
"app.confirmLogout","Confirm Logout","ログアウトを確認","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","ログアウトすると、このウォレットが端末から削除されます。","translated"
"app.help","Help","ヘルプ","translated"
"app.language","Language","言語","translated"
"app.languageDescription","Choose the wallet interface language","ウォレットのインターフェース言語を選択","translated"
"app.logOut","Log Out","ログアウト","translated"
"app.quickAccess","Quick access","クイックアクセス","translated"
"app.settings","Settings","設定","translated"
"app.toggleTheme","Toggle theme","テーマを切り替え","translated"
"appLock.cancel","Cancel","キャンセル","translated"
"appLock.checking","Checking…","確認中…","translated"
"appLock.confirm","Confirm","確認","translated"
"appLock.confirmPassword","Confirm password","パスワードを確認","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","フレーズが正しくありません。もう一度お試しください。","translated"
"appLock.password","Password","パスワード","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","バックアップフレーズを表示するにはパスワードを入力してください。","translated"
"appLock.verificationFailed","Verification failed. Please try again.","確認できませんでした。もう一度お試しください。","translated"
"apps.addonLoadFailed","Addon failed to load","アドオンの読み込みに失敗しました","translated"
"apps.advanced","Advanced","詳細","translated"
"apps.all","All","すべて","translated"
"apps.allowCapabilities","Allow {name} capabilities?","{name} の権限を許可しますか？","translated"
"apps.allowOnce","Allow once","一度だけ許可","translated"
"apps.allowSensitiveAction","Allow sensitive action?","機密性の高い操作を許可しますか？","translated"
"apps.alwaysAllow","Always allow","常に許可","translated"
"apps.appDefinition","App definition","アプリ定義","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","続行するには必要な権限を承認してください。","translated"
"apps.back","Back","戻る","translated"
"apps.browse","Browse apps","アプリを参照","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","まずウォレット、次にトークン、ユーティリティ、詳細プラットフォーム","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","このアドオンアプリは起動前にウォレットの権限を要求しています。","translated"
"apps.capability","Capability:","権限：","translated"
"apps.capability.addOutputs","Construct transaction outputs","トランザクション出力を構成","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","ウォレットアドレスの UTXO を読む","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","ウォレットアドレスの UTXO を更新して保存","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","トランザクションをブロードキャスト","translated"
"apps.capability.buildTransactions","Build transactions","トランザクションを作成","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","HTTP 経由で JSON を取得","translated"
"apps.capability.signatureTemplates","Create signature templates","署名テンプレートを作成","translated"
"apps.capability.signMessages","Sign messages with wallet keys","ウォレットキーでメッセージに署名","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","TokenIndex 保有者一覧を読む","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","CashToken メタデータを読む","translated"
