"key","English (en)","Chinese (Simplified) (zh-CN)","Status"
"about.building","Building and Sending Transactions","构建和发送交易","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","使用自定义 covenant 条件构建交易，例如时间锁、多签要求或允许的地址。","translated"
"about.cashscriptExamples","CashScript Covenant Examples","CashScript Covenant 示例","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript - 编写 Covenant 与自省","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph - 什么是 Bitcoin Covenant，它们如何工作？","translated"
"about.community","Community Feedback","社区反馈","translated"
"about.communityText","Built with input from beta testers and real user needs.","根据测试用户的反馈和真实需求构建。","translated"
"about.creating","Creating and Importing Wallets","创建和导入钱包","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","使用与其他 Bitcoin 钱包兼容的标准格式创建新钱包或导入现有钱包。","translated"
"about.feedback","Feedback and Support","反馈与支持","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","你的反馈有助于改进 OPTN Wallet。如有建议、问题或需要支持，请联系","translated"
"about.flexibility","Flexibility","灵活性","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","使用自定义交易条件调整钱包体验。","translated"
"about.intended","Intended Use","适用范围","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","OPTN 可帮助你使用高级 covenant 功能管理数字资产，无论是管理个人资金还是探索 Bitcoin covenant。","translated"
"about.intuitive","Intuitive Design","直观设计","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","友好的界面让初学者也能轻松管理资产。","translated"
"about.keyFeatures","Key Features","主要功能","translated"
"about.learn","Learn More About Bitcoin Covenants","进一步了解 Bitcoin Covenant","translated"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","通过以下资源加深对 Bitcoin covenant 的理解：","translated"
"about.overview","Overview","概览","translated"
