"key","English (en)","Portuguese (Brazil) (pt-BR)","Status"
"about.building","Building and Sending Transactions","Criar e enviar transações","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","Construa transações com condições de covenant personalizadas, como bloqueios de tempo, requisitos de múltiplas assinaturas ou endereços permitidos.","translated"
"about.cashscriptExamples","CashScript Covenant Examples","Exemplos de covenants CashScript","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript — escrever covenants e introspecção","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph — O que são covenants Bitcoin e como funcionam?","translated"
"about.community","Community Feedback","Feedback da comunidade","translated"
"about.communityText","Built with input from beta testers and real user needs.","Criado com a contribuição de testadores beta e necessidades reais de usuários.","translated"
"about.creating","Creating and Importing Wallets","Criar e importar carteiras","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","Crie novas carteiras ou importe carteiras existentes usando formatos padrão compatíveis com outras carteiras Bitcoin.","translated"
"about.feedback","Feedback and Support","Feedback e suporte","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","Seu feedback nos ajuda a melhorar o OPTN Wallet. Para sugestões, problemas ou suporte, entre em contato conosco em","translated"
"about.flexibility","Flexibility","Flexibilidade","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","Adapte sua experiência com condições de transação personalizadas.","translated"
"about.intended","Intended Use","Uso previsto","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","O OPTN ajuda você a gerenciar ativos digitais com recursos avançados de covenant, seja para fundos pessoais ou para explorar covenants Bitcoin.","translated"
"about.intuitive","Intuitive Design","Design intuitivo","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","Uma interface amigável que torna a gestão de ativos acessível para iniciantes.","translated"
"about.keyFeatures","Key Features","Principais recursos","translated"
"about.learn","Learn More About Bitcoin Covenants","Saiba mais sobre covenants Bitcoin","translated"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","Explore estes recursos para aprofundar seu conhecimento sobre covenants Bitcoin:","translated"
"about.overview","Overview","Visão geral","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","O aplicativo OPTN Wallet oferece controle direto e segurança sobre seus ativos digitais. Os covenants do Bitcoin permitem definir regras personalizadas para gastar fundos.","translated"
