"key","English (en)","Hausa (Nigeria) (ha-NG)","Status"
"about.building","Building and Sending Transactions","Gina da aika ciniki","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","Gina ciniki da sharuɗɗan covenant na musamman kamar time lock, sa hannun mutane da yawa ko adireshi da aka amince da su.","translated"
"about.cashscriptExamples","CashScript Covenant Examples","Misalan CashScript covenant","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript — rubuta covenants da introspection","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph — Menene Bitcoin covenants, kuma ta yaya suke aiki?","translated"
"about.community","Community Feedback","Ra’ayin al’umma","translated"
"about.communityText","Built with input from beta testers and real user needs.","An gina shi da ra’ayoyin beta testers da ainihin buƙatun masu amfani.","translated"
"about.creating","Creating and Importing Wallets","Ƙirƙira da shigo da wallets","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","Ƙirƙiri sabon wallet ko shigo da wanda kake da shi ta tsarin da sauran Bitcoin wallets ke gane shi.","translated"
"about.feedback","Feedback and Support","Ra’ayi da taimako","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","Ra’ayinka yana taimaka mana inganta OPTN Wallet. Don shawara, matsala ko taimako, tuntuɓe mu a","translated"
"about.flexibility","Flexibility","Sauƙin daidaitawa","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","Daidaita amfani da wallet da sharuɗɗan ciniki na musamman.","translated"
"about.intended","Intended Use","Amfanin da aka nufa","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","OPTN na taimaka maka sarrafa kadarorin dijital da covenant na ci gaba, ko kana kula da kuɗinka ko kana koyon Bitcoin covenants.","translated"
"about.intuitive","Intuitive Design","Tsari mai sauƙin fahimta","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","Fuska mai sauƙin amfani da ke taimaka wa sababbin masu amfani sarrafa kadarori.","translated"
"about.keyFeatures","Key Features","Muhimman fasaloli","translated"
"about.learn","Learn More About Bitcoin Covenants","Ƙara koyo game da Bitcoin covenants","translated"
