"key","English (en)","Chinese (Traditional) (zh-TW)","Status"
"about.building","Building and Sending Transactions","建立與傳送交易","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","使用時間鎖、多重簽署要求或允許清單地址等自訂 covenant 條件建立交易。","translated"
"about.cashscriptExamples","CashScript Covenant Examples","CashScript Covenant 範例","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript — 撰寫 Covenant 與 introspection","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph — Bitcoin covenant 是什麼，如何運作？","translated"
"about.community","Community Feedback","社群回饋","translated"
"about.communityText","Built with input from beta testers and real user needs.","根據 beta 測試者意見與真實使用者需求打造。","translated"
"about.creating","Creating and Importing Wallets","建立與匯入錢包","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","使用與其他 Bitcoin 錢包相容的標準格式建立新錢包或匯入現有錢包。","translated"
"about.feedback","Feedback and Support","回饋與支援","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","您的回饋有助於我們改進 OPTN Wallet。如有建議、問題或需要支援，請聯絡我們：","translated"
"about.flexibility","Flexibility","彈性","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","使用自訂交易條件調整錢包體驗。","translated"
"about.intended","Intended Use","預定用途","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","無論您管理個人資金或探索 Bitcoin covenant，OPTN 都能以進階 covenant 功能協助管理數位資產。","translated"
"about.intuitive","Intuitive Design","直覺設計","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","友善介面讓初學者也能輕鬆管理資產。","translated"
"about.keyFeatures","Key Features","主要功能","translated"
"about.learn","Learn More About Bitcoin Covenants","深入了解 Bitcoin covenant","translated"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","探索以下資源以深入了解 Bitcoin covenant：","translated"
"about.overview","Overview","概覽","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","OPTN Wallet 應用程式讓您直接控制並保護數位資產。Bitcoin covenant 可自訂資金支出的規則，讓錢包符合您的偏好。","translated"
"about.security","Security","安全性","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Bitcoin covenant 功能有助於保護資產免於未授權交易。","translated"
"about.unmatched","Unmatched Security","無與倫比的安全性","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","使用 Bitcoin covenant 精確定義資金可如何支出。","translated"
"about.viewing","Viewing Covenants","檢視 Covenant","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","檢查控制交易的規則，了解資金如何受到保護。","translated"
"about.why","Why Choose OPTN Wallet?","為什麼選擇 OPTN Wallet？","translated"
"about.wiki","Bitcoin Covenants Wiki","Bitcoin Covenant Wiki","translated"
"actions.advanced","Advanced","進階","translated"
"actions.advancedActions","Advanced Actions","進階操作","translated"
"actions.basic","Basic","基本","translated"
"actions.basicActions","Basic Actions","基本操作","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","管理代幣系列","translated"
"actions.commonWalletTasks","Common wallet tasks","常用錢包任務","translated"
"actions.contracts","Contracts","合約","translated"
"actions.contractsDescription","Manage contract instances","管理合約執行個體","translated"
"actions.deeperTools","Deeper tools and workflows","進階工具與工作流程","translated"
"actions.newAddress","New Address","新地址","translated"
"actions.newAddressDescription","Generate a new address","產生新地址","translated"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","Beta production","needs-review"
"actions.quantumrootDescription","Quantum-ready vaults","為量子時代準備的金庫","translated"
