"key","English (en)","Korean (ko)","Status"
"about.building","Building and Sending Transactions","트랜잭션 생성 및 전송","translated"
"about.buildingText","Construct transactions with custom covenant conditions such as time locks, multisignature requirements, or allowlisted addresses.","시간 잠금, 다중 서명 또는 허용 주소와 같은 맞춤 커밋먼트 조건으로 트랜잭션을 구성합니다.","translated"
"about.cashscriptExamples","CashScript Covenant Examples","CashScript 커밋먼트 예제","translated"
"about.cashscriptGuide","CashScript - Writing Covenants & Introspection","CashScript — 커밋먼트 및 introspection 작성","translated"
"about.cointelegraph","Cointelegraph - What are Bitcoin covenants, and how do they work?","Cointelegraph — Bitcoin 커밋먼트란 무엇이며 어떻게 작동하나요?","translated"
"about.community","Community Feedback","커뮤니티 피드백","translated"
"about.communityText","Built with input from beta testers and real user needs.","베타 테스터의 의견과 실제 사용자 요구를 바탕으로 만들었습니다.","translated"
"about.creating","Creating and Importing Wallets","지갑 생성 및 가져오기","translated"
"about.creatingText","Create new wallets or import existing ones using standard formats compatible with other Bitcoin wallets.","다른 Bitcoin 지갑과 호환되는 표준 형식으로 새 지갑을 만들거나 기존 지갑을 가져옵니다.","translated"
"about.feedback","Feedback and Support","피드백 및 지원","translated"
"about.feedbackText","Your feedback helps us improve OPTN Wallet. For suggestions, issues, or support, contact us at","피드백은 OPTN Wallet을 개선하는 데 도움이 됩니다. 제안, 문제 또는 지원 문의는 다음으로 연락하세요:","translated"
"about.flexibility","Flexibility","유연성","translated"
"about.flexibilityText","Tailor your wallet experience with custom transaction conditions.","맞춤 트랜잭션 조건으로 지갑 사용 경험을 조정합니다.","translated"
"about.intended","Intended Use","사용 목적","translated"
"about.intendedText","OPTN is ready to help you manage digital assets with advanced covenant features, whether you are handling personal funds or exploring Bitcoin covenants.","개인 자금을 관리하거나 Bitcoin 커밋먼트를 탐색할 때 OPTN은 고급 기능으로 디지털 자산 관리를 돕습니다.","translated"
"about.intuitive","Intuitive Design","직관적인 디자인","translated"
"about.intuitiveText","A user-friendly interface that makes asset management approachable for beginners.","초보자도 쉽게 자산을 관리할 수 있는 친화적인 인터페이스입니다.","translated"
"about.keyFeatures","Key Features","주요 기능","translated"
"about.learn","Learn More About Bitcoin Covenants","Bitcoin 커밋먼트 더 알아보기","translated"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","Bitcoin 커밋먼트를 더 깊이 이해하려면 다음 자료를 살펴보세요.","translated"
"about.overview","Overview","개요","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","OPTN Wallet 앱은 디지털 자산을 직접 관리하고 보호할 수 있게 합니다. Bitcoin 커밋먼트는 자금 사용 규칙을 맞춤 설정합니다.","translated"
"about.security","Security","보안","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Bitcoin 커밋먼트 기능은 무단 트랜잭션으로부터 자산을 보호합니다.","translated"
"about.unmatched","Unmatched Security","탁월한 보안","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","Bitcoin 커밋먼트로 자금 사용 방식을 정확히 정의합니다.","translated"
"about.viewing","Viewing Covenants","커밋먼트 보기","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","거래를 관리하는 규칙을 검토하여 자금이 보호되는 방식을 이해합니다.","translated"
"about.why","Why Choose OPTN Wallet?","OPTN Wallet을 선택하는 이유","translated"
"about.wiki","Bitcoin Covenants Wiki","Bitcoin 커밋먼트 위키","translated"
"actions.advanced","Advanced","고급","translated"
"actions.advancedActions","Advanced Actions","고급 작업","translated"
"actions.basic","Basic","기본","translated"
"actions.basicActions","Basic Actions","기본 작업","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","토큰 패밀리 관리","translated"
"actions.commonWalletTasks","Common wallet tasks","일반 지갑 작업","translated"
"actions.contracts","Contracts","컨트랙트","translated"
"actions.contractsDescription","Manage contract instances","컨트랙트 인스턴스 관리","translated"
"actions.deeperTools","Deeper tools and workflows","고급 도구 및 작업 흐름","translated"
"actions.newAddress","New Address","새 주소","translated"
"actions.newAddressDescription","Generate a new address","새 주소 생성","translated"
